column	line	citation	token	page	why
page-040-R	10	ε19. 550b	ε	550	reads as book ε of πο (the work last named), but 550 is outside πο (1447-1462)
page-040-R	18	Ζικ6. 637b	Ζικ	637	Ζι is περὶ τὰ Ζῷα ἱστορίαι at 486-633, and the page beside it is 637
page-040-R	21	Ζικ6. 637b	Ζικ	637	Ζι is περὶ τὰ Ζῷα ἱστορίαι at 486-633, and the page beside it is 637
page-041-L	43	δ10. 1125 b	δ	1125	reads as book δ of Π (the work last named), but 1125 is outside Π (1252-1342)
page-041-R	10	Ζκ7. 638b	Ζκ	638	Ζκ is περὶ Ζῴων κινήσεως at 698-704, and the page beside it is 638
page-042-L	7	χ7. 401 b	χ	401	reads as book χ of Ζγ (the work last named), but 401 is outside Ζγ (715-789)
page-042-L	19	γ7. 1234 a	γ	1234	reads as book γ of Η (the work last named), but 1234 is outside Η (1094-1181)
page-042-L	27	χ3. 393 b	χ	393	reads as book χ of ο (the work last named), but 393 is outside ο (1343-1353)
page-042-R	27	Ζικ6. 637b	Ζικ	637	Ζι is περὶ τὰ Ζῷα ἱστορίαι at 486-633, and the page beside it is 637
page-043-R	44	β7. 1108 a	β	1108	reads as book β of Αα (the work last named), but 1108 is outside Αα (24-70)
page-043-R	59	κ1. 1172 b	κ	1172	reads as book κ of Ρ (the work last named), but 1172 is outside Ρ (1354-1420)
page-044-R	54	ε8. 788 b	ε	788	reads as book ε of Ζμ (the work last named), but 788 is outside Ζμ (639-697)
page-045-L	59	β4. 111 b	β	111	reads as book β of Αγ (the work last named), but 111 is outside Αγ (71-100)
page-045-L	59	δ6. 127 a	δ	127	reads as book δ of Αγ (the work last named), but 127 is outside Αγ (71-100)
page-046-L	58	η2. 243 a	η	243	reads as book η of Κ (the work last named), but 243 is outside Κ (1-15)
page-046-R	6	λ2. 1069 b	λ	1069	reads as book λ of Κ (the work last named), but 1069 is outside Κ (1-15)
page-046-R	6	ν1. 1088 a	ν	1088	reads as book ν of Κ (the work last named), but 1088 is outside Κ (1-15)
page-046-R	12	ΓΒ4. 331 a	ΓΒ	331	'ΓΒ' is not one of Bonitz's sigla
page-046-R	20	θ7. 260 a	θ	260	reads as book θ of ψ (the work last named), but 260 is outside ψ (402-435)
page-046-R	31	ν1. 1087 b	ν	1087	reads as book ν of αι (the work last named), but 1087 is outside αι (436-449)
page-047-R	16	δ2. 1120b	δ	1120	reads as book δ of Ο (the work last named), but 1120 is outside Ο (268-313)
page-047-R	54	ζ9. 887b	ζ	887	reads as book ζ of Ζι (the work last named), but 887 is outside Ζι (486-633)
page-048-R	24	ι1. 609 b	ι	609	reads as book ι of φ (the work last named), but 609 is outside φ (805-814)
page-048-R	49	α7. 344 b	α	344	reads as book α of κ (the work last named), but 344 is outside κ (391-401)
page-049-L	51	Ηε10. 1835 b	Ηε	1835	Η is Ἠθικὰ Νικομάχεια at 1094-1181, and the page beside it is 1835
page-050-R	13	γ4. 429a	γ	429	reads as book γ of Φ (the work last named), but 429 is outside Φ (184-267)
page-050-R	31	Πζ5. 1820a	Πζ	1820	Π is Πολιτικά at 1252-1342, and the page beside it is 1820
