source	cite	column	line	tier	corpus_lines
page-050-R:28	453. 1552a32	1552a	32	no-corpus	
page-050-R:29	πν9. 485b18	485b	18	no-corpus	
page-050-R:30	πι43. 895b7	895b	7	no-corpus	
page-050-R:31	Πζ5. 1820a18	1820a	18	no-corpus	
page-050-R:35	248. 1524a6	1524a	6	no-corpus	
page-050-R:39	πκγ33. 935a11	935a	11	no-corpus	
page-050-R:39	8. 932b13	932b	13	no-corpus	
page-050-R:45	248. 1524a7	1524a	7	no-corpus	
page-050-R:46	487. 1557b21	1557b	21	no-corpus	
page-050-R:48	πιβ3. 906b19	906b	19	no-corpus	
page-050-R:51	488. 1557b23	1557b	23	no-corpus	
page-050-R:52	402. 1545a36	1545a	36	no-corpus	
page-050-R:54	403. 1545b4	1545b	4	no-corpus	
page-050-R:55	238. 1521 b26	1521b	26	no-corpus	
page-051-L:3	464. 1554 b3	1554b	3	no-corpus	
page-051-L:5	Ηι1. 1163 b35	1163b	35	seam	
page-051-L:11	φτα4. 819 b36	819b	36	no-corpus	
page-051-L:15	108. 1495 b11	1495b	11	no-corpus	
page-051-L:18	ρ1. 1421 a33	1421a	33	no-corpus	
page-051-L:25	φτα5. 820 a16	820a	16	no-corpus	
page-051-L:26	φτα3. 818 b35	818b	35	no-corpus	
page-051-L:28	1569 b34	1569b	34	no-corpus	
page-051-L:29	πβ9. 867 a19	867a	19	no-corpus	
page-051-L:33	πκγ17. 933 b8	933b	8	no-corpus	
page-051-L:35	φτα5. 820 b2	820b	2	no-corpus	
page-051-L:35	7. 821 a38	821a	38	no-corpus	
page-051-L:37	255. 1525 b5	1525b	5	no-corpus	
page-051-L:41	256. 1525 b9	1525b	9	no-corpus	
page-051-L:51	9. 993 a13	993a	13	seam	
page-051-L:57	489. 1557 b42	1557b	42	no-corpus	
page-051-L:57	1558 a5	1558a	5	no-corpus	
page-051-L:58	πδ21. 879 a10	879a	10	no-corpus	
page-051-R:1	ρ3. 1425 a12	1425a	12	no-corpus	
page-051-R:6	452. 1552 a25	1552a	25	no-corpus	
page-051-R:23	301. 1529 b30	1529b	30	no-corpus	
page-051-R:24	301. 1529 b38	1529b	38	no-corpus	
page-051-R:28	φτα1. 815 a29	815a	29	no-corpus	
page-051-R:32	ρ26. 1435 a33	1435a	33	no-corpus	
page-051-R:35	ρ16. 1431 b22	1431b	22	no-corpus	
page-051-R:36	ρ8. 1429 a4	1429a	4	no-corpus	
page-051-R:38	ημα34. 1194 b34	1194b	34	no-corpus	
page-051-R:39	Πβ12. 1274 b13	1274b	13	seam	
page-051-R:39	πλα12. 958 b20	958b	20	no-corpus	
page-051-R:40	Ζιβ1. 497 b31	497b	31	seam	
page-051-R:43	πκθ13. 951 a31	951a	31	no-corpus	
page-051-R:46	ρ16. 1431 b23	1431b	23	no-corpus	
page-051-R:49	520. 1563 a32	1563a	32	no-corpus	
page-051-R:50	594. 1574 b22	1574b	22	no-corpus	
page-051-R:51	572. 1572 a26	1572a	26	no-corpus	
page-051-R:52	594. 1574 b37	1574b	37	no-corpus	
page-051-R:58	596. 1576 b7	1576b	7	no-corpus	
page-052-L:21	Πη1. 1323 a24	1323a	24	seam	
page-052-L:23	πκθ13. 951 b9	951b	9	no-corpus	
page-052-L:30	385. 1542 a31	1542a	31	no-corpus	
page-052-L:37	382. 1541 b28	1541b	28	no-corpus	
page-052-L:39	ημβ11. 1210 a37	1210a	37	no-corpus	
page-052-L:45	κ1. 1172 a27	1172a	27	seam	
page-052-L:50	385. 1542 a19	1542a	19	no-corpus	
page-052-L:54	1556 b31	1556b	31	no-corpus	
page-052-L:57	πκε2. 938 a9	938a	9	no-corpus	
page-052-L:60	426. 1548 b31	1548b	31	no-corpus	
page-052-L:61	πια31. 902 b31	902b	31	no-corpus	
page-052-R:38	2. 662 a36	662a	36	tail	1-35
page-052-R:61	106. 1494 b43	1494b	43	no-corpus	
page-053-L:20	πγ26. 875a16	875a	16	no-corpus	
page-053-L:24	β1. 1260b31	1260b	31	seam	
page-053-L:25	ζ8. 1323a2	1323a	2	seam	
page-053-L:35	πλ7. 956a18	956a	18	no-corpus	
page-053-L:36	πι65. 898b6	898b	6	no-corpus	
page-053-L:51	ψβ12. 424b3	424b	3	seam	
page-053-R:1	Ηζ1. 1138 b29	1138b	29	seam	
page-053-R:10	ημα20. 1191 a27	1191a	27	no-corpus	
page-053-R:14	πκε14. 939 b2	939b	2	no-corpus	
page-053-R:14	12. 941 a39	941a	39	no-corpus	
page-053-R:14	48. 945 b30	945b	30	no-corpus	
page-053-R:16	ημα2. 1183 b29	1183b	29	no-corpus	
page-053-R:22	φτα1. 815 a28	815a	28	no-corpus	
page-053-R:22	7. 821 b29	821b	29	no-corpus	
page-053-R:23	β2. 823 b35	823b	35	no-corpus	
page-053-R:23	6. 826 b27	826b	27	no-corpus	
page-053-R:40	πε19. 882 b25	882b	25	no-corpus	
page-053-R:45	πδ1. 876 a31	876a	31	no-corpus	
page-053-R:52	13. 1476 a26	1476a	26	no-corpus	
page-053-R:53	Φη3. 247 b21	247b	21	seam	
page-053-R:57	πκζ9. 948 b21	948b	21	no-corpus	
page-053-R:58	πκδ6. 936 b1	936b	1	no-corpus	
page-054-L:6	πκγ30. 934b27	934b	27	no-corpus	
page-054-L:15	158. 1504b36	1504b	36	no-corpus	
page-054-L:18	ημα1. 1182a13	1182a	13	no-corpus	
page-054-L:21	η2. 243a18	243a	18	seam	
page-054-L:24	ημβ11. 1210a24	1210a	24	no-corpus	
page-054-L:36	ρ3. 1423b25	1423b	25	no-corpus	
page-054-L:43	πιη1. 916b1	916b	1	no-corpus	
page-054-L:43	7. 917a18	917a	18	no-corpus	
page-054-L:56	ρ2. 1422a19	1422a	19	no-corpus	
page-054-L:58	ε12. 21b26	21b	26	seam	
page-054-R:46	Πδ1. 1288 b32	1288b	32	seam	
page-054-R:55	πλ10. 956 b13	956b	13	no-corpus	
page-055-L:25	Ζμδ10. 689a21	689a	21	seam	
page-055-L:47	ε9. 18b6	18b	6	seam	
page-055-L:55	ρ2. 1422a20	1422a	20	no-corpus	
page-055-L:60	Ζμδ2. 677a18	677a	18	seam	
page-055-R:7	Ζγε1. 778 a35	778a	35	seam	
page-055-R:11	Ζγβ1. 731 b21	731b	21	seam	
page-055-R:17	202. 1514 b31	1514b	31	no-corpus	
page-055-R:28	157. 1504 b27	1504b	27	no-corpus	
page-055-R:31	ημβ7. 1206 a14	1206a	14	no-corpus	
page-055-R:48	πιθ5. 918 a8	918a	8	no-corpus	
page-055-R:51	16. 1454 b27	1454b	27	seam	
page-055-R:52	16. 1454 b32	1454b	32	seam	
page-056-L:4	πιη1. 916b10	916b	10	no-corpus	
page-056-L:4	7. 917a26	917a	26	no-corpus	
page-056-L:18	572. 1572a28	1572a	28	no-corpus	
page-056-L:20	πι54. 897 a30	897a	30	no-corpus	
page-056-L:26	ρ3. 1424a32	1424a	32	no-corpus	
page-056-L:32	517. 1562b20	1562b	20	no-corpus	
page-056-L:43	316. 1531b19	1531b	19	no-corpus	
page-056-L:46	πκζ3. 947b32	947b	32	no-corpus	
page-056-L:50	πν5. 484a7	484a	7	no-corpus	
page-056-L:51	πζ2. 886 a33	886a	33	no-corpus	
page-056-L:52	πκζ3. 948a11	948a	11	no-corpus	
page-056-L:56	532. 1566a26	1566a	26	no-corpus	
page-056-L:59	πκγ8. 932b15	932b	15	no-corpus	
page-056-R:5	πκγ30. 934 b36	934b	36	no-corpus	
page-056-R:39	εν3. 462 b7	462b	7	seam	
page-056-R:40	Ζγε3. 482 b19	482b	19	no-corpus	
page-056-R:54	Ζμγ6. 669 b8	669b	8	seam	
page-057-L:2	Ζμδ5. 678 a33	678a	33	seam	
page-057-L:8	δ1. 523 a1	523a	1	seam	
page-057-L:8	Ζμδ5. 678 a29	678a	29	seam	
page-057-L:32	δ4. 678 a4	678a	4	seam	
page-057-L:37	δ5. 678 a29	678a	29	seam	
page-057-R:2	Ζμδ1. 676a31	676a	31	seam	
page-057-R:13	13, 1377b8	1377b	8	seam	
page-057-R:14	Πδ1. 1288b41	1288b	41	seam	
page-057-R:31	8. 1012 b15	1012b	15	seam	
page-057-R:42	66. 1487a15	1487a	15	no-corpus	
page-057-R:43	πα19. 861b11	861b	11	no-corpus	
page-057-R:48	ημα20. 1191a31	1191a	31	no-corpus	
page-057-R:48	πα28. 862b21	862b	21	no-corpus	
page-057-R:50	Ζγα23. 731b2	731b	2	seam	
page-057-R:58	Ζικ3. 635 b10	635b	10	no-corpus	
page-057-R:59	1. 634a4	634a	4	no-corpus	
page-057-R:59	Φη2. 245a10	245a	10	seam	
page-058-L:2	πι32. 894a33	894a	33	no-corpus	
page-058-L:7	ημβ15. 1213a5	1213a	5	no-corpus	
page-058-L:8	πλε1. 964b24	964b	24	no-corpus	
page-058-L:9	πγ10. 872 b9	872b	9	no-corpus	
page-058-L:14	πια33. 903 a20	903a	20	no-corpus	
page-058-L:16	πγ5. 871a32	871a	32	no-corpus	
page-058-L:22	ημα30. 1193a1	1193a	1	no-corpus	
page-058-L:24	ημα30. 1193a2	1193a	2	no-corpus	
page-058-L:60	565. 1571a4	1571a	4	no-corpus	
page-058-R:1	123. 1499a23	1499a	23	no-corpus	
page-058-R:9	πιε12. 912b30	912b	30	no-corpus	
page-058-R:10	κγ6. 932a33	932a	33	no-corpus	
page-058-R:24	πκγ6. 932a22	932a	22	no-corpus	
page-058-R:30	πια45. 904a38	904a	38	no-corpus	
page-058-R:31	23. 901b19	901b	19	no-corpus	
page-058-R:31	51. 904b30	904b	30	no-corpus	
page-058-R:32	πια23. 901b22	901b	22	no-corpus	
page-058-R:34	πι54. 897a5	897a	5	no-corpus	
page-058-R:35	40. 945a7	945a	7	no-corpus	
page-058-R:36	πλζ6. 966b17	966b	17	no-corpus	
page-059-L:12	Ζμβ1. 646a24	646a	24	seam	
page-059-L:22	πκε13. 939a35	939a	35	no-corpus	
page-059-L:24	382. 1541b31	1541b	31	no-corpus	
page-059-L:26	374. 1540a40	1540a	40	no-corpus	
page-059-L:26	375. 1540b14	1540b	14	no-corpus	
page-059-L:30	φτα7. 821b16	821b	16	no-corpus	
page-059-L:31	φτα1. 815a25	815a	25	no-corpus	
page-059-L:38	77. 1488b10	1488b	10	no-corpus	
page-059-L:40	πλγ15. 963a8	963a	8	no-corpus	
page-059-L:44	πη20. 889a20	889a	20	no-corpus	
page-059-L:46	517. 1562b26	1562b	26	no-corpus	
page-059-L:47	66. 1487a5	1487a	5	no-corpus	
page-059-L:48	Ζικ1. 634a7	634a	7	no-corpus	
page-059-L:50	ρ26. 1436a25	1436a	25	no-corpus	
page-059-L:51	ξ2. 977a9	977a	9	seam	
page-059-L:53	ρ2. 1438b22	1438b	22	no-corpus	
page-059-L:56	Ζμγ14. 674b29	674b	29	seam	
page-059-L:57	πιη8. 917b7	917b	7	no-corpus	
page-059-L:58	πα50. 865a38	865a	38	no-corpus	
page-059-R:1	τζ14. 151 b20	151b	20	seam	
page-059-R:3	ρ36. 1440 b30	1440b	30	no-corpus	
page-059-R:12	ημα7. 1186 a23	1186a	23	no-corpus	
page-059-R:16	ημα23. 1191 b34	1191b	34	no-corpus	
page-059-R:19	ημα7. 1186 a21	1186a	21	no-corpus	
page-059-R:38	315. 1531 b7	1531b	7	no-corpus	
page-059-R:40	ρ37. 1443 b15	1443b	15	no-corpus	
page-059-R:45	πιε3. 910 b36	910b	36	no-corpus	
page-059-R:51	Πε1. 1301 a27	1301a	27	seam	
page-059-R:55	β1. 497 b11	497b	11	seam	
page-059-R:56	β1. 497 b11	497b	11	seam	
page-060-L:3	Οβ14. 298 a16	298a	16	seam	
page-060-L:6	μα14. 353 a4	353a	4	seam	
page-060-L:8	ημα34. 1193 b37	1193b	37	no-corpus	
page-060-L:18	ημα34. 1193 b37	1193b	37	no-corpus	
page-060-L:47	Ζιβ1. 497 b33	497b	33	seam	
page-060-L:51	πζ5. 886 b35	886b	35	no-corpus	
page-060-R:5	πκα5. 927 a35	927a	35	no-corpus	
page-060-R:11	Ζιβ17. 509 a17	509a	17	seam	
page-060-R:41	οβ1345 b26	1345b	26	seam	
page-060-R:47	πιη12. 916 b23	916b	23	no-corpus	
page-060-R:52	Φη2. 243 a15	243a	15	seam	
page-060-R:53	244 a6	244a	6	seam	
page-060-R:57	275. 1527 b20	1527b	20	no-corpus	
page-061-L:2	ρ31. 1438a4	1438a	4	no-corpus	
page-061-L:3	ρ22. 1434a20	1434a	20	no-corpus	
page-061-L:4	ρ21. 1434a3	1434a	3	no-corpus	
page-061-L:14	πκθ14. 952b3	952b	3	no-corpus	
page-061-L:19	ρ21. 1433b29	1433b	29	no-corpus	
page-061-L:34	η4. 248a22	248a	22	seam	
page-061-L:34	7. 940b35	940b	35	no-corpus	
page-061-L:35	πε1. 880b19	880b	19	no-corpus	
page-061-L:35	19. 882b34	882b	34	no-corpus	
page-061-L:37	483. 1557a18	1557a	18	no-corpus	
page-061-L:47	65. 1486b34	1486b	34	no-corpus	
page-061-L:56	α2. 184b21	184b	21	seam	
page-061-L:61	Φα2. 184b21	184b	21	seam	
page-061-R:16	Φθ1. 250b24	250b	24	seam	
page-061-R:46	πια33. 903a8	903a	8	no-corpus	
page-061-R:47	8. 914b10	914b	10	no-corpus	
page-061-R:49	φτα1. 815a15	815a	15	no-corpus	
page-061-R:49	2. 816b26	816b	26	no-corpus	
page-061-R:50	φτα2. 817a26	817a	26	no-corpus	
page-061-R:52	Ζγδ1. 763b31	763b	31	seam	
page-061-R:54	Ζμδ2. 677a5	677a	5	seam	
page-062-L:7	πβ7. 867a11	867a	11	no-corpus	
page-062-L:9	πα12. 860b24	860b	24	no-corpus	
page-062-L:11	259. 1525b32	1525b	32	no-corpus	
page-062-L:13	527. 1565a6	1565a	6	no-corpus	
page-062-L:25	25, 205a5	205a	5	seam	
page-062-L:28	Φθ1. 250b18	250b	18	seam	
page-062-L:28	424b44	424b	44	seam	
page-062-L:36	5. 205a27	205a	27	seam	
page-062-L:39	Γβ1. 328b35	328b	35	seam	
page-062-L:44	Φα2. 184b17	184b	17	seam	
page-062-L:45	Γβ1. 328b34	328b	34	seam	
page-062-L:53	ρ35. 1440a35	1440a	35	no-corpus	
page-062-R:3	Ηβ1. 1103a30	1103a	30	seam	
page-062-R:23	ρ26. 1435 b15	1435b	15	no-corpus	
page-062-R:32	πε1. 880b22	880b	22	no-corpus	
page-062-R:33	πα55. 866a25	866a	25	no-corpus	
page-062-R:49	414. 1547a37	1547a	37	no-corpus	
page-062-R:50	πκγ 16. 933a29	933a	29	no-corpus	
page-062-R:51	30. 943b6	943b	6	no-corpus	
page-062-R:51	40. 945a1	945a	1	no-corpus	
page-062-R:52	πλα8. 958a39	958a	39	no-corpus	
page-062-R:52	15. 958b37	958b	37	no-corpus	
page-063-L:6	πδ31. 880b6	880b	6	no-corpus	
page-063-L:7	ι24. 893b15	893b	15	no-corpus	
page-063-L:17	πλβ6. 960b37	960b	37	no-corpus	
page-063-L:18	πκε12. 939a29	939a	29	no-corpus	
page-063-L:19	πλη8. 967b4	967b	4	no-corpus	
page-063-L:21	πα43. 864b22	864b	22	no-corpus	
page-063-L:27	πκγ5. 932a1	932a	1	no-corpus	
page-063-L:28	πκ23. 925b17	925b	17	no-corpus	
page-063-L:32	η17. 1337a3	1337a	3	seam	
page-063-L:33	108. 1495b12	1495b	12	no-corpus	
page-063-L:39	248. 1523b31	1523b	31	no-corpus	
page-063-L:41	ημβ7. 1205b22	1205b	22	no-corpus	
page-063-L:45	ημβ7. 1205b28	1205b	28	no-corpus	
page-063-L:47	πκε12. 939a31	939a	31	no-corpus	
page-063-L:57	πλδ11. 964a39	964a	39	no-corpus	
page-063-R:8	πλ12. 964b5	964b	5	no-corpus	
page-063-R:17	πλδ9. 964a26	964a	26	no-corpus	
page-063-R:18	πε16. 882 b2	882b	2	no-corpus	
page-063-R:36	Ζμδ5. 678b1	678b	1	seam	
page-063-R:43	πια48. 904b12	904b	12	no-corpus	
page-063-R:45	πν2. 482a8	482a	8	no-corpus	
page-063-R:46	πν4. 483a12	483a	12	no-corpus	
page-063-R:59	Ζμγ6. 669b8	669b	8	seam	
page-064-L:6	πλγ1. 961b18	961b	18	no-corpus	
page-064-L:8	πλβ5. 960b27	960b	27	no-corpus	
page-064-L:29	πη9. 888a7	888a	7	no-corpus	
page-064-L:31	πλδ9. 964a31	964a	31	no-corpus	
page-064-L:42	πα55. 866a20	866a	20	no-corpus	
page-064-L:48	30. 943b12	943b	12	no-corpus	
page-064-L:49	πκγ16. 933a35	933a	35	no-corpus	
page-064-L:50	πλγ8. 962a26	962a	26	no-corpus	
page-064-L:51	πλα1. 957 a39	957a	39	no-corpus	
page-064-L:55	ρ18. 1432a33	1432a	33	no-corpus	
page-064-L:59	ημα35. 1197 a22	1197a	22	no-corpus	
page-064-R:7	532. 1566b26	1566b	26	no-corpus	
page-064-R:12	φτβ7. 827a31	827a	31	no-corpus	
page-064-R:12	ρ26. 1435b18	1435b	18	no-corpus	
page-064-R:16	319. 1532a17	1532a	17	no-corpus	
page-064-R:16	315. 1531b3	1531b	3	no-corpus	
page-064-R:24	64. 1486b20	1486b	20	no-corpus	
page-064-R:25	πι36. 894b21	894b	21	no-corpus	
page-064-R:27	Ζιδ11. 538b7	538b	7	seam	
page-064-R:32	πι49. 896b3	896b	3	no-corpus	
page-064-R:32	λδ10. 964a38	964a	38	no-corpus	
page-064-R:33	πι49. 896a38	896a	38	no-corpus	
page-064-R:33	λδ10. 964a34	964a	34	no-corpus	
page-064-R:35	πλ4. 955b12	955b	12	no-corpus	
page-064-R:36	202. 1514b29	1514b	29	no-corpus	
page-064-R:40	41. 1481b42	1481b	42	no-corpus	
page-064-R:41	1482a8	1482a	8	no-corpus	
page-064-R:43	πιθ20. 919a16	919a	16	no-corpus	
page-064-R:44	πιθ36. 920b13	920b	13	no-corpus	
page-064-R:45	πιθ48. 922b16	922b	16	no-corpus	
page-064-R:46	φτα2. 817b38	817b	38	no-corpus	
page-064-R:57	307. 1530a24	1530a	24	no-corpus	
page-064-R:59	πκ22. 925a30	925a	30	no-corpus	
page-064-R:61	224. 1518b44	1518b	44	no-corpus	
page-065-L:3	πε19. 882b27	882b	27	no-corpus	
page-065-L:4	73. 1488a13	1488a	13	no-corpus	
page-065-L:15	πκγ5. 932a18	932a	18	no-corpus	
page-065-L:24	Ζιβ1. 497b29	497b	29	seam	
page-065-L:25	πδ8. 877a37	877a	37	no-corpus	
page-065-L:28	Ζμβ17. 661a19	661a	19	seam	
page-065-L:29	πιγ10. 908b31	908b	31	no-corpus	
page-065-L:34	πκζ7. 948b11	948b	11	no-corpus	
page-065-L:37	483. 1557a19	1557a	19	no-corpus	
page-065-L:39	πν8. 484a18	484a	18	no-corpus	
page-065-L:40	151. 1503b28	1503b	28	no-corpus	
page-065-L:45	29. 943a35	943a	35	no-corpus	
page-065-L:48	πδ12. 877b34	877b	34	no-corpus	
page-065-L:48	πβ8. 867a17	867a	17	no-corpus	
page-065-L:49	Ζικ2. 635a12	635a	12	no-corpus	
page-065-L:50	Ζμγ5. 668b5	668b	5	seam	
page-065-L:60	5. 940b23	940b	23	no-corpus	
page-065-R:15	πιε12. 912b34	912b	34	no-corpus	
page-065-R:16	πιθ37. 920b20	920b	20	no-corpus	
page-065-R:19	13. 294a1	294a	1	seam	
page-065-R:28	πλβ5. 960b23	960b	23	no-corpus	
page-065-R:33	377. 1540b36	1540b	36	no-corpus	
page-065-R:35	625. 1583b17	1583b	17	no-corpus	
page-065-R:42	12. 941b17	941b	17	no-corpus	
page-065-R:48	πν5. 483b24	483b	24	no-corpus	
page-065-R:58	Ζιθ30. 608a2	608a	2	seam	
page-066-L:1	πκ21. 925a26	925a	26	no-corpus	
page-066-L:5	πε6. 881a5	881a	5	no-corpus	
page-066-L:6	πε6. 881a11	881a	11	no-corpus	
page-066-L:24	πκε13. 939a35	939a	35	no-corpus	
page-066-L:28	θ1. 1045b28	1045b	28	seam	
page-066-L:31	ρ30. 1437b24	1437b	24	no-corpus	
page-066-L:31	ημβ11. 1211a3	1211a	3	no-corpus	
page-066-L:35	πλη8. 967b4	967b	4	no-corpus	
page-066-L:37	πε23. 883a26	883a	26	no-corpus	
page-066-L:38	γ13. 872b35	872b	35	no-corpus	
page-066-L:38	ια10. 900a7	900a	7	no-corpus	
page-066-L:40	ρ1. 1420a20	1420a	20	finding	1-8
page-066-L:40	ημα34. 1196a5	1196a	5	no-corpus	
page-066-L:44	240. 1522a22	1522a	22	no-corpus	
page-066-L:46	πι22. 893a18	893a	18	no-corpus	
page-066-L:48	φτα6. 821a3	821a	3	no-corpus	
page-066-L:52	Ζιβ1. 497 b30	497b	30	seam	
page-066-R:7	34. 944a27	944a	27	no-corpus	
page-066-R:9	πη18. 889a8	889a	8	no-corpus	
page-066-R:10	πκβ7. 930b18	930b	18	no-corpus	
page-066-R:12	φτβ3. 824b27	824b	27	no-corpus	
page-066-R:19	596. 1576a23	1576a	23	no-corpus	
page-066-R:20	521. 1563b17	1563b	17	no-corpus	
page-066-R:21	66. 1486 b44	1486b	44	no-corpus	
page-066-R:23	ρ2. 1423a6	1423a	6	no-corpus	
page-066-R:24	504. 1560b35	1560b	35	no-corpus	
page-066-R:40	πα38. 863b11	863b	11	no-corpus	
page-066-R:40	ζ9. 887b1	887b	1	no-corpus	
page-066-R:44	ηεγ1. 1228a27	1228a	27	seam	
page-066-R:44	ημα20. 1190b9	1190b	9	no-corpus	
page-066-R:46	γ1. 1228a26	1228a	26	seam	
page-066-R:49	πκζ5. 948a31	948a	31	no-corpus	
page-066-R:52	ημα20. 1190b22	1190b	22	no-corpus	
page-066-R:52	1191a17	1191a	17	no-corpus	
page-066-R:54	ημα20. 1190b28	1190b	28	no-corpus	
page-066-R:61	πκζ1. 947b11	947b	11	no-corpus	
page-066-R:61	11. 949a20	949a	20	no-corpus	
page-067-L:4	ημα20. 1191 a18	1191a	18	no-corpus	
page-067-L:6	ημα20. 1191a3	1191a	3	no-corpus	
page-067-L:9	Ζιι1. 605a35	605a	35	finding	1-31
page-067-L:11	ημα34. 1193b4	1193b	4	no-corpus	
page-067-L:13	πιδ8. 909b10	909b	10	no-corpus	
page-067-L:13	16. 910a39	910a	39	no-corpus	
page-067-L:14	κζ4. 948a13	948a	13	no-corpus	
page-067-L:15	516. 1562b4	1562b	4	no-corpus	
page-067-L:22	ημα9. 1186b7	1186b	7	no-corpus	
page-067-L:22	20. 1190b9	1190b	9	no-corpus	
page-067-L:32	πι45. 895b37	895b	37	no-corpus	
page-067-L:38	374. 1540b2	1540b	2	no-corpus	
page-067-L:38	377. 1540b35	1540b	35	no-corpus	
page-067-L:40	499. 1559a34	1559a	34	no-corpus	
page-067-L:43	563. 1570b37	1570b	37	no-corpus	
page-067-L:44	Ρβ12. 1274b23	1274b	23	seam	
page-067-L:49	πια34. 903a34	903a	34	no-corpus	
page-067-L:52	πκθ13. 951b3	951b	3	no-corpus	
page-067-L:55	Ηβ9. 1109b18	1109b	18	seam	
page-067-L:59	99. 1494a14	1494a	14	no-corpus	
page-067-R:6	πκγ29. 934b22	934b	22	no-corpus	
page-067-R:13	ρ37. 1442a13	1442a	13	no-corpus	
page-067-R:21	ημα25. 1192a8	1192a	8	no-corpus	
page-067-R:27	Μα3. 995a12	995a	12	seam	
page-067-R:30	21. 1477b23	1477b	23	no-corpus	
page-067-R:31	6. 914a26	914a	26	no-corpus	
page-067-R:49	940a18	940a	18	no-corpus	
page-067-R:49	947b9	947b	9	no-corpus	
page-067-R:56	28. 943a28	943a	28	no-corpus	
page-067-R:61	18. 942a22	942a	22	no-corpus	
page-068-L:1	23. 942b16	942b	16	no-corpus	
page-068-L:9	πκγ11. 932b29	932b	29	no-corpus	
page-068-L:16	πκα12. 928a29	928a	29	no-corpus	
page-068-L:19	πν5. 483b1	483b	1	no-corpus	
page-068-L:44	πιθ4. 917b36	917b	36	no-corpus	
page-068-L:44	πια22. 901b10	901b	10	no-corpus	
page-068-L:47	208. 1516a1	1516a	1	no-corpus	
page-068-R:4	Ζιδ11. 538b7	538b	7	seam	
page-068-R:17	πκ23. 925 b18	925b	18	no-corpus	
page-068-R:20	πκζ10. 949a2	949a	2	no-corpus	
page-068-R:27	πια41. 903b38	903b	38	no-corpus	
page-068-R:33	Ζικ5. 637b15	637b	15	no-corpus	
page-068-R:37	πγ7. 872a5	872a	5	no-corpus	
page-068-R:37	δ28. 880a13	880a	13	no-corpus	
page-068-R:37	25. 879a33	879a	33	no-corpus	
page-068-R:50	κ7. 637a22	637a	22	no-corpus	
page-068-R:51	Ζικ2. 634 b37	634b	37	no-corpus	
page-068-R:52	3. 636a6	636a	6	no-corpus	
page-068-R:52	5. 637a16	637a	16	no-corpus	
page-068-R:54	Ζικ2. 634b31	634b	31	no-corpus	
page-068-R:54	5. 635a34	635a	34	no-corpus	
page-068-R:54	636a11	636a	11	no-corpus	
page-068-R:55	6. 637b25	637b	25	no-corpus	
page-068-R:56	κ3. 635a37	635a	37	no-corpus	
page-068-R:56	Ζικ5. 637a16	637a	16	no-corpus	
page-068-R:57	Ζικ3. 635b17	635b	17	no-corpus	
page-068-R:58	Ζικ4. 636a39	636a	39	no-corpus	
page-068-R:59	Ζικ5. 636b24	636b	24	no-corpus	
page-068-R:59	Ζικ3. 635 b29	635b	29	no-corpus	
page-068-R:60	Ζικ4. 636b5	636b	5	no-corpus	
page-068-R:61	Ζικ3. 636a27	636a	27	no-corpus	
page-069-L:2	κ1. 633b11	633b	11	finding	1-8
page-069-L:2	4. 636 b8	636b	8	no-corpus	
page-069-L:3	5. 636b11	636b	11	no-corpus	
page-069-L:3	39, 637a3	637a	3	no-corpus	
page-069-L:27	529. 1566a2	1566a	2	no-corpus	
page-069-L:28	515. 1562a28	1562a	28	no-corpus	
page-069-L:29	555. 1569b44	1569b	44	no-corpus	
page-069-L:30	555. 1569 b44	1569b	44	no-corpus	
page-069-L:32	554. 1569b34	1569b	34	no-corpus	
page-069-L:34	555. 1570a1	1570a	1	no-corpus	
page-069-L:46	φτα3. 818a15	818a	15	no-corpus	
page-069-L:49	πιγ3. 907b33	907b	33	no-corpus	
page-069-L:51	πιβ2. 906a31	906a	31	no-corpus	
page-069-L:51	9. 907a25	907a	25	no-corpus	
page-069-R:3	554. 1569 b35	1569b	35	no-corpus	
page-069-R:13	πκδ3. 936a25	936a	25	no-corpus	
page-069-R:30	ρ8. 1428b4	1428b	4	no-corpus	
page-069-R:40	Ηθ16. 1163b24	1163b	24	seam	
page-069-R:43	πιθ48. 922b20	922b	20	no-corpus	
page-069-R:60	πιζ3. 916a28	916a	28	no-corpus	
page-070-L:19	πι45. 895b24	895b	24	no-corpus	
page-070-L:32	ρ6. 1427b34	1427b	34	no-corpus	
page-070-L:48	Ζμγ6. 669b5	669b	5	seam	
page-070-L:55	Ζιβ1. 497b21	497b	21	seam	
page-070-R:6	17. 497b1	497b	1	seam	
page-070-R:9	η1. 581a9	581a	9	seam	
page-070-R:22	Ζιβ1. 497b33	497b	33	seam	
page-070-R:22	Ζιβ1. 497b35	497b	35	seam	
page-070-R:26	πι46. 896a12	896a	12	no-corpus	
page-070-R:48	πι41. 895 a23	895a	23	no-corpus	
page-071-L:15	γ1. 749a31	749a	31	seam	
page-071-L:23	πι6. 891 b5	891b	5	no-corpus	
page-071-L:25	Ζιγ22. 523a15	523a	15	seam	
page-071-L:29	πι59. 897b34	897b	34	no-corpus	
page-071-L:44	πι48. 896a34	896a	34	no-corpus	
page-071-L:44	62. 898 a20	898a	20	no-corpus	
page-071-L:46	πι53. 896b29	896b	29	no-corpus	
page-071-L:48	πι29. 894a13	894a	13	no-corpus	
page-071-L:49	πι25. 893b17	893b	17	no-corpus	
page-071-L:57	πι7. 891b15	891b	15	no-corpus	
