source	cite	column	line	tier	corpus_lines
page-025-L:16	πλη5. 967 a13	967a	13	no-corpus	
page-025-L:17	η4. 887 b22	887b	22	no-corpus	
page-025-L:17	α28. 862 b21	862b	21	no-corpus	
page-025-L:22	89.1492a9	1492a	9	no-corpus	
page-025-L:24	374.1540b6	1540b	6	no-corpus	
page-025-L:28	Ργ1. 1403b22	1403b	22	seam	
page-025-L:33	πγ9. 872 a19	872a	19	no-corpus	
page-025-L:43	56. 946 b36	946b	36	no-corpus	
page-025-L:46	πθ1. 889 b12	889b	12	no-corpus	
page-025-L:46	56. 946 b35	946b	35	no-corpus	
page-025-L:51	ρ23. 1434 b9	1434b	9	no-corpus	
page-025-R:3	πλα15. 958 b37	958b	37	no-corpus	
page-025-R:5	πκε2. 938 a5	938a	5	no-corpus	
page-025-R:6	πλα16. 959 a6	959a	6	no-corpus	
page-025-R:9	πγ21. 874 a22	874a	22	no-corpus	
page-025-R:9	ιθ2. 917 b22	917b	22	no-corpus	
page-025-R:13	πλ1. 954 a23	954a	23	no-corpus	
page-025-R:15	66. 1487 a29	1487a	29	no-corpus	
page-025-R:20	Ζιι1. 608 a33	608a	33	seam	
page-025-R:25	560. 1570 a43	1570a	43	no-corpus	
page-025-R:27	36. 944 b13	944b	13	no-corpus	
page-025-R:33	Αδ13. 97 b18	97b	18	seam	
page-025-R:34	625. 1583 b19	1583b	19	no-corpus	
page-025-R:34	πλ1. 953 a21	953a	21	no-corpus	
page-025-R:35	596. 1575 b10	1575b	10	no-corpus	
page-025-R:37	580. 1573 a31	1573a	31	no-corpus	
page-025-R:39	1576 a1	1576a	1	no-corpus	
page-025-R:41	238. 1521 b21	1521b	21	no-corpus	
page-025-R:42	πκγ6. 932 a22	932a	22	no-corpus	
page-025-R:44	489. 1557 b40	1557b	40	no-corpus	
page-025-R:44	1558 a5	1558a	5	no-corpus	
page-025-R:48	κ6. 401 a4	401a	4	seam	
page-025-R:50	φτα7. 821 b20	821b	20	no-corpus	
page-026-L:8	66. 1486 b44	1486b	44	no-corpus	
page-026-L:9	436. 1550 a12	1550a	12	no-corpus	
page-026-L:10	432. 1549 b24	1549b	24	no-corpus	
page-026-L:11	596. 1575 a31	1575a	31	no-corpus	
page-026-L:16	17. 509 a2	509a	2	seam	
page-026-L:23	β14. 298 a3	298a	3	seam	
page-026-L:28	44. 945 a25	945a	25	no-corpus	
page-026-L:28	161. 1505 a14	1505a	14	no-corpus	
page-026-L:29	44. 945 a20	945a	20	no-corpus	
page-026-L:32	37. 581 a1	581a	1	seam	
page-026-L:34	271. 1527 a32	1527a	32	no-corpus	
page-026-L:35	258. 1525 a38	1525a	38	no-corpus	
page-026-L:36	φτα4. 819 a11	819a	11	no-corpus	
page-026-L:36	7. 821 a33	821a	33	no-corpus	
page-026-L:37	πκ32. 926 b6	926b	6	no-corpus	
page-026-L:42	8. 1475 a36	1475a	36	no-corpus	
page-026-L:43	πιδ4. 909 a27	909a	27	no-corpus	
page-026-L:56	πι11. 892 a3	892a	3	no-corpus	
page-026-L:60	πια53. 905 a7	905a	7	no-corpus	
page-026-R:1	66. 1486 b42	1486b	42	no-corpus	
page-026-R:3	172. 1506 b27	1506b	27	no-corpus	
page-026-R:7	ημα30. 1193 a7	1193a	7	no-corpus	
page-026-R:32	α14. 353 a15	353a	15	seam	
page-026-R:33	λ1. 1069 a31	1069a	31	seam	
page-026-R:36	Ζγβ1. 731 b24	731b	24	seam	
page-026-R:50	κ5. 637 a23	637a	23	no-corpus	
page-026-R:55	πδ26. 879 b6	879b	6	no-corpus	
page-026-R:57	πκζ11. 949 a16	949a	16	no-corpus	
page-027-L:15	πδ26. 879 b6	879b	6	no-corpus	
page-027-L:18	πε15. 882 a35	882a	35	no-corpus	
page-027-L:20	η1. 581 a28	581a	28	seam	
page-027-L:21	πδ23. 879 a15	879a	15	no-corpus	
page-027-L:21	λ1. 953 b34	953b	34	no-corpus	
page-027-L:21	954 a4	954a	4	no-corpus	
